Number_cleaners;Clients;v_20110509;v_20110510;v_20110511;v_20110512;v_20110513
Single;Acanthurus_nigricans;0;0;1;0;0
Single;Naso_lituratus;6;0;0;0;0
Single;Ctenochaetus_striatus;30;0;0;7;0
Single;Naso_brevirostris;0;0;0;0;0
Single;Naso_vlamingii;1;13;7;5;0
Single;Zebrasoma_scopas;3;0;0;4;0
Single;Zebrasoma_rostratum;14;0;0;3;0
Single;Caranx_lugubris;0;0;0;0;0
Single;Elagatis_bipinnulata;0;236;19;3;7
Single;Chaetodon_vagabundus;0;3;0;0;0
Single;Chaetodon_oxycephalus;0;0;4;0;0
Single;Triaenodon_obesus;0;4;0;0;0
Single;Charcharhinus_albimarginatus;55;138;199;5;7
Single;Charcharhinus_amblyrhynchos;42;528;120;22;0
Single;Fistularia_commersonii;0;3;0;0;0
Single;Echeneis_naucrates;0;6;0;0;0
Single;Anampses_neoguinaicus;12;0;15;47;0
Single;Gomphosus_varius;35;0;7;24;0
Single;Halichoeres_chrysus;0;0;2;0;0
Single;Labroides_dimidiatus;0;0;0;0;0
Single;Thalassoma_lutescens;0;0;0;7;0
Single;Oxycheilinus_unifasciatus;42;0;13;0;0
Single;Lutjanus_bohar;190;18;70;80;0
Single;Lutjanus_russelli;13;0;0;0;0
Single;Macolor_niger;0;46;15;63;0
Single;Manta_birostris;86;0;0;69;0
Single;Amblyglyphidodon_aureus;0;0;0;0;0
Single;Amblyglyphidodon_leucogaster;30;11;4;11;5
Single;Chromis_iomelas;4;2;42;0;0
Single;Chromis_margaritifer;3;0;2;0;0
Single;Variola_albimarginata;0;0;0;6;0
Single;Pseudanthias_tuka;1;0;11;0;0
Single;Sphyraena_qenie;114;29;874;1499;0
Single;Scaridae_SP;228;67;422;162;16
Pair;Acanthurus_nigricans;0;0;0;0;0
Pair;Naso_lituratus;0;0;0;0;0
Pair;Ctenochaetus_striatus;0;0;0;0;0
Pair;Naso_brevirostris;0;0;9;0;0
Pair;Naso_vlamingii;0;0;0;0;0
Pair;Zebrasoma_scopas;0;0;0;0;0
Pair;Zebrasoma_rostratum;0;0;0;0;0
Pair;Caranx_lugubris;0;0;27;0;4
Pair;Elagatis_bipinnulata;0;400;0;0;0
Pair;Chaetodon_vagabundus;0;0;0;0;0
Pair;Chaetodon_oxycephalus;0;0;0;0;0
Pair;Triaenodon_obesus;0;0;0;0;0
Pair;Charcharhinus_albimarginatus;142;110;342;36;0
Pair;Charcharhinus_amblyrhynchos;21;137;8;37;30
Pair;Fistularia_commersonii;0;0;0;0;0
Pair;Echeneis_naucrates;0;0;0;0;0
Pair;Anampses_neoguinaicus;0;0;0;0;0
Pair;Gomphosus_varius;0;0;0;0;0
Pair;Halichoeres_chrysus;0;0;0;0;0
Pair;Labroides_dimidiatus;0;0;0;0;0
Pair;Thalassoma_lutescens;0;0;0;0;0
Pair;Oxycheilinus_unifasciatus;0;0;0;0;0
Pair;Lutjanus_bohar;33;97;0;27;0
Pair;Lutjanus_russelli;0;0;0;0;0
Pair;Macolor_niger;0;52;0;0;0
Pair;Manta_birostris;1360;0;0;576;0
Pair;Amblyglyphidodon_aureus;22;0;0;0;0
Pair;Amblyglyphidodon_leucogaster;0;0;0;0;0
Pair;Chromis_iomelas;0;0;0;0;0
Pair;Chromis_margaritifer;0;0;0;0;0
Pair;Variola_albimarginata;0;0;0;0;0
Pair;Pseudanthias_tuka;0;0;0;0;0
Pair;Sphyraena_qenie;120;1223;1626;4355;30
Pair;Scaridae_SP;0;0;63;210;0
