Number_cleaners;Clients;v_20110509;v_20110510;v_20110511;v_20110512;v_20110513
Single;Acanthurus_nigricans;0;0;1;0;0
Single;Naso_lituratus;1;0;0;0;0
Single;Ctenochaetus_striatus;5;0;0;3;0
Single;Naso_brevirostris;0;0;0;0;0
Single;Naso_vlamingii;1;1;4;1;0
Single;Zebrasoma_scopas;1;0;0;2;0
Single;Zebrasoma_rostratum;3;0;0;1;0
Single;Caranx_lugubris;0;0;0;0;0
Single;Elagatis_bipinnulata;0;14;4;2;1
Single;Chaetodon_vagabundus;0;1;0;0;0
Single;Chaetodon_oxycephalus;0;0;1;0;0
Single;Triaenodon_obesus;0;2;0;0;0
Single;Charcharhinus_albimarginatus;3;10;14;1;1
Single;Charcharhinus_amblyrhynchos;4;25;11;4;0
Single;Fistularia_commersonii;0;1;0;0;0
Single;Echeneis_naucrates;0;1;0;0;0
Single;Anampses_neoguinaicus;3;0;3;7;0
Single;Gomphosus_varius;7;0;3;3;0
Single;Halichoeres_chrysus;0;0;1;0;0
Single;Labroides_dimidiatus;0;0;0;0;0
Single;Thalassoma_lutescens;0;0;0;1;0
Single;Oxycheilinus_unifasciatus;3;0;3;0;0
Single;Lutjanus_bohar;3;1;3;4;0
Single;Lutjanus_russelli;1;0;0;0;0
Single;Macolor_niger;0;3;1;4;0
Single;Manta_birostris;4;0;0;11;0
Single;Amblyglyphidodon_aureus;0;0;0;0;0
Single;Amblyglyphidodon_leucogaster;6;2;1;4;1
Single;Chromis_iomelas;4;1;22;0;0
Single;Chromis_margaritifer;1;0;2;0;0
Single;Variola_albimarginata;0;0;0;1;0
Single;Pseudanthias_tuka;1;0;2;0;0
Single;Sphyraena_qenie;20;3;117;220;0
Single;Scaridae_SP;29;6;59;42;3
Pair;Acanthurus_nigricans;0;0;0;0;0
Pair;Naso_lituratus;0;0;0;0;0
Pair;Ctenochaetus_striatus;0;0;0;0;0
Pair;Naso_brevirostris;0;0;2;0;0
Pair;Naso_vlamingii;0;0;0;0;0
Pair;Zebrasoma_scopas;0;0;0;0;0
Pair;Zebrasoma_rostratum;0;0;0;0;0
Pair;Caranx_lugubris;0;0;2;0;2
Pair;Elagatis_bipinnulata;0;10;0;0;0
Pair;Chaetodon_vagabundus;0;0;0;0;0
Pair;Chaetodon_oxycephalus;0;0;0;0;0
Pair;Triaenodon_obesus;0;0;0;0;0
Pair;Charcharhinus_albimarginatus;7;6;16;4;0
Pair;Charcharhinus_amblyrhynchos;2;12;2;2;2
Pair;Fistularia_commersonii;0;0;0;0;0
Pair;Echeneis_naucrates;0;0;0;0;0
Pair;Anampses_neoguinaicus;0;0;0;0;0
Pair;Gomphosus_varius;0;0;0;0;0
Pair;Halichoeres_chrysus;0;0;0;0;0
Pair;Labroides_dimidiatus;0;0;0;0;0
Pair;Thalassoma_lutescens;0;0;0;0;0
Pair;Oxycheilinus_unifasciatus;0;0;0;0;0
Pair;Lutjanus_bohar;2;2;0;2;0
Pair;Lutjanus_russelli;0;0;0;0;0
Pair;Macolor_niger;0;2;0;0;0
Pair;Manta_birostris;16;0;0;19;0
Pair;Amblyglyphidodon_aureus;2;0;0;0;0
Pair;Amblyglyphidodon_leucogaster;0;0;0;0;0
Pair;Chromis_iomelas;0;0;0;0;0
Pair;Chromis_margaritifer;0;0;0;0;0
Pair;Variola_albimarginata;0;0;0;0;0
Pair;Pseudanthias_tuka;0;0;0;0;0
Pair;Sphyraena_qenie;18;20;133;231;2
Pair;Scaridae_SP;0;0;4;2;0
