Gaspar_code	FB_Spec_Code	Class	Order	Family	Bellwood_Floeter	Genus	Species	Genus_and_species	Size	Size_type	Depth_min	Depth_max	Size_class	Diet_2012	Home_range	Activity	Schooling	Level
10	10	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Alectis	indicus	Alectis_indicus	165	TL	20	100	6	FC	W	B	F	H
1000	1000	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Oligoplites	saliens	Oligoplites_saliens	50	TL	0	40	5	FC	W	D	L	H
10006	10006	Actinopterygii_(ray-finned_fishes)	Perciformes	Gobiidae	1	Wheelerigobius	maltzani	Wheelerigobius_maltzani	4.5	TL	1	10	1	IM	S	D	S	B
1001	1001	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Oligoplites	saurus	Oligoplites_saurus	35	TL	1	50	4	FC	W	B	M	H
1002	1002	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Pseudocaranx	dentex	Pseudocaranx_dentex	122	TL	10	238	6	FC	W	B	F	H
10023	10023	Actinopterygii_(ray-finned_fishes)	Perciformes	Eleotridae	1	Ophiocara	porocephala	Ophiocara_porocephala	34	TL	0	NA	4	NA	NA	NA	NA	NA
1004	1004	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Selene	vomer	Selene_vomer	4.829.999.924	TL	1	53	5	IM	W	D	M	H
1005	1005	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Seriola	dumerili	Seriola_dumerili	190	TL	1	360	6	FC	W	B	F	H
1006	1006	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Seriola	fasciata	Seriola_fasciata	67.5	FL	55	130	5	FC	W	D	M	H
1007	1007	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Seriola	rivoliana	Seriola_rivoliana	160	FL	5	160	6	FC	W	B	F	H
1008	1008	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Seriola	zonata	Seriola_zonata	75	TL	0	335	5	FC	W	D	M	H
1010	1010	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Trachinotus	falcatus	Trachinotus_falcatus	122	FL	0	66	6	IM	W	D	M	L
10106	10106	Actinopterygii_(ray-finned_fishes)	Perciformes	Cheilodactylidae	1	Nemadactylus	macropterus	Nemadactylus_macropterus	70	TL	22	450	5	IM	W	B	L	B
1011	1011	Actinopterygii_(ray-finned_fishes)	Perciformes	Carangidae	1	Trachinotus	goodei	Trachinotus_goodei	50	TL	0	40	5	IM	W	D	M	L
10136	10136	Actinopterygii_(ray-finned_fishes)	Anguilliformes	Muraenidae	1	Enchelycore	lichenosa	Enchelycore_lichenosa	90	TL	5	24	6	FC	S	N	S	B
10139	10139	Actinopterygii_(ray-finned_fishes)	Anguilliformes	Muraenidae	1	Gymnothorax	chlamydatus	Gymnothorax_chlamydatus	60	TL	0	NA	5	IM	S	N	S	B
